epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1088.31,0.6284,0.61101,1.05299,0.8347,0.83643,0.88813,0.57239,1.30231,0.67092,1.36157,0.000248533,0.000248533,0.000248533
43,1116.9,0.63101,0.61863,1.05136,0.84157,0.85276,0.88202,0.57731,1.26617,0.6702,1.38026,0.000246157,0.000246157,0.000246157
44,1154.28,0.61487,0.59377,1.04174,0.88764,0.84663,0.90553,0.57769,1.28668,0.64816,1.3624,0.00024374,0.00024374,0.00024374
45,1199.3,0.61228,0.59759,1.04005,0.83207,0.88157,0.89486,0.57702,1.29527,0.67145,1.36749,0.000241283,0.000241283,0.000241283
46,1240.01,0.60659,0.58848,1.04191,0.88681,0.84663,0.9068,0.60885,1.30975,0.64573,1.37646,0.000238786,0.000238786,0.000238786
47,1268.25,0.60483,0.57256,1.03693,0.88004,0.81011,0.90498,0.58439,1.28569,0.64002,1.37002,0.000236251,0.000236251,0.000236251
48,1296.68,0.59206,0.56769,1.03521,0.87875,0.84663,0.89478,0.59128,1.29522,0.63765,1.37734,0.000233679,0.000233679,0.000233679
49,1324.57,0.59871,0.57119,1.03125,0.8915,0.85276,0.90235,0.58718,1.32028,0.63621,1.41313,0.00023107,0.00023107,0.00023107
50,1351.39,0.60064,0.57741,1.04017,0.86719,0.8589,0.89776,0.57,1.31845,0.63635,1.41074,0.000228427,0.000228427,0.000228427
51,1377.44,0.58941,0.56703,1.03114,0.88223,0.82728,0.90671,0.5993,1.27617,0.60639,1.33847,0.00022575,0.00022575,0.00022575
52,1401.11,0.59035,0.56922,1.03393,0.87427,0.82822,0.88163,0.56799,1.2921,0.67074,1.39425,0.00022304,0.00022304,0.00022304
53,1423.75,0.59199,0.5768,1.03134,0.88877,0.84049,0.90262,0.58621,1.28742,0.64706,1.38266,0.000220299,0.000220299,0.000220299
54,1446.33,0.57967,0.54869,1.02528,0.89817,0.86576,0.91655,0.60756,1.25357,0.60669,1.32403,0.000217528,0.000217528,0.000217528
55,1468.73,0.57934,0.55125,1.02591,0.85434,0.89961,0.90592,0.5878,1.26153,0.5948,1.32006,0.000214728,0.000214728,0.000214728
56,1491.26,0.57857,0.54817,1.02406,0.91369,0.84434,0.90847,0.59947,1.26036,0.59025,1.3225,0.0002119,0.0002119,0.0002119
57,1513.69,0.58667,0.55903,1.02984,0.86585,0.82822,0.89434,0.58584,1.26737,0.63479,1.36843,0.000209046,0.000209046,0.000209046
58,1536.15,0.58767,0.55384,1.02738,0.87347,0.8773,0.91607,0.59782,1.29405,0.606,1.3561,0.000206166,0.000206166,0.000206166
59,1558.63,0.58327,0.55323,1.02984,0.88983,0.90184,0.90683,0.60027,1.29677,0.61639,1.3947,0.000203263,0.000203263,0.000203263
60,1581.22,0.57965,0.54708,1.02462,0.88378,0.88344,0.91878,0.61126,1.23568,0.5852,1.30635,0.000200337,0.000200337,0.000200337
61,1603.84,0.57371,0.54559,1.02173,0.91686,0.86503,0.91044,0.6086,1.2497,0.5675,1.35607,0.000197389,0.000197389,0.000197389
62,1626.73,0.57127,0.53176,1.02538,0.86563,0.86947,0.90834,0.59578,1.26795,0.60757,1.35397,0.000194421,0.000194421,0.000194421
63,1649.24,0.56517,0.52663,1.01619,0.91697,0.8589,0.91634,0.60642,1.26828,0.61871,1.34795,0.000191435,0.000191435,0.000191435
64,1671.85,0.57218,0.52457,1.02293,0.86449,0.86105,0.9117,0.59143,1.31827,0.62967,1.41855,0.00018843,0.00018843,0.00018843
65,1694.51,0.57495,0.52977,1.02351,0.90255,0.87117,0.92299,0.60566,1.24769,0.56214,1.33858,0.00018541,0.00018541,0.00018541
66,1716.82,0.54895,0.51465,1.00665,0.89836,0.8676,0.9105,0.58849,1.28464,0.58517,1.40526,0.000182375,0.000182375,0.000182375
67,1739.21,0.55765,0.51594,1.01212,0.9107,0.87596,0.91113,0.61026,1.2386,0.59883,1.35386,0.000179326,0.000179326,0.000179326
68,1761.91,0.56367,0.52096,1.01493,0.90555,0.8823,0.91588,0.60277,1.23215,0.56352,1.32535,0.000176265,0.000176265,0.000176265
69,1784.36,0.55181,0.50751,1.01488,0.9048,0.87461,0.91873,0.61039,1.24753,0.58606,1.36508,0.000173193,0.000173193,0.000173193
70,1807.25,0.55661,0.51991,1.01522,0.90975,0.87117,0.90343,0.59912,1.28296,0.60693,1.39873,0.000170112,0.000170112,0.000170112
71,1829.8,0.56167,0.51174,1.01527,0.89031,0.84049,0.88426,0.58563,1.29324,0.64689,1.38612,0.000167022,0.000167022,0.000167022
72,1852.41,0.54402,0.5031,1.0074,0.89422,0.84663,0.89134,0.59312,1.29376,0.6087,1.38533,0.000163926,0.000163926,0.000163926
73,1876.3,0.54273,0.50337,1.00578,0.88918,0.83685,0.88633,0.58336,1.29765,0.61232,1.39074,0.000160824,0.000160824,0.000160824
74,1900.72,0.5367,0.49179,1.00165,0.89767,0.86109,0.90578,0.61164,1.24801,0.60743,1.36946,0.000157719,0.000157719,0.000157719
75,1925.12,0.55273,0.50029,1.01002,0.88905,0.8589,0.91026,0.61182,1.22698,0.60454,1.36489,0.00015461,0.00015461,0.00015461
76,1949.44,0.53791,0.489,1.00376,0.89308,0.87115,0.91235,0.61638,1.19763,0.61312,1.32384,0.0001515,0.0001515,0.0001515
77,1973.63,0.53914,0.4948,1.00382,0.9067,0.85276,0.91089,0.61222,1.21511,0.60372,1.32637,0.00014839,0.00014839,0.00014839
78,1997.98,0.53706,0.48978,1.00507,0.89057,0.87117,0.90208,0.60357,1.23731,0.61624,1.33162,0.000145281,0.000145281,0.000145281
79,2022.56,0.5328,0.48984,1.00544,0.89898,0.87356,0.91141,0.60815,1.25346,0.60379,1.35087,0.000142176,0.000142176,0.000142176
80,2047.3,0.52634,0.47596,0.99496,0.88654,0.86283,0.90591,0.59938,1.27809,0.60331,1.40304,0.000139074,0.000139074,0.000139074
81,2072.06,0.52116,0.47158,0.99718,0.89392,0.86503,0.90839,0.61107,1.2447,0.56268,1.34573,0.000135978,0.000135978,0.000135978
82,2096.88,0.52758,0.47968,1.00173,0.92029,0.84997,0.90935,0.60853,1.22079,0.60376,1.33154,0.000132888,0.000132888,0.000132888
83,2121.17,0.52087,0.47565,0.99363,0.89868,0.87062,0.91187,0.60121,1.2378,0.59876,1.35279,0.000129807,0.000129807,0.000129807
84,2145.48,0.53264,0.47238,0.99623,0.90874,0.85527,0.90802,0.59312,1.27033,0.59702,1.38537,0.000126735,0.000126735,0.000126735
85,2170.07,0.52638,0.47101,0.99344,0.91616,0.84049,0.89961,0.60435,1.26475,0.594,1.37895,0.000123674,0.000123674,0.000123674
86,2194.45,0.52968,0.476,0.99564,0.8799,0.87117,0.90962,0.6161,1.24518,0.61448,1.35449,0.000120625,0.000120625,0.000120625
87,2218.86,0.52006,0.47301,0.99346,0.89746,0.87117,0.91494,0.62034,1.23254,0.57505,1.32956,0.00011759,0.00011759,0.00011759
88,2241.86,0.51295,0.46763,0.98966,0.86142,0.90798,0.91891,0.60997,1.26111,0.543,1.37656,0.00011457,0.00011457,0.00011457
89,2264.38,0.5204,0.46961,0.99131,0.8694,0.88957,0.91335,0.61213,1.23954,0.57045,1.34171,0.000111565,0.000111565,0.000111565
90,2287.39,0.51423,0.45029,0.9911,0.89845,0.8773,0.91565,0.61163,1.24251,0.57543,1.33775,0.000108579,0.000108579,0.000108579
91,2310.29,0.5134,0.4614,0.99192,0.89994,0.8589,0.91025,0.60923,1.2521,0.57142,1.35798,0.000105611,0.000105611,0.000105611
92,2333,0.51088,0.45958,0.99125,0.88873,0.88199,0.91848,0.61744,1.24061,0.54555,1.35473,0.000102663,0.000102663,0.000102663
93,2355.63,0.50485,0.45332,0.98465,0.88384,0.88957,0.92588,0.61802,1.26336,0.56542,1.37677,9.97371e-05,9.97371e-05,9.97371e-05
